Day,Time,Weather,Traffic,Quantity,Price
Sunday,8,Good,1,5,2700
Sunday,9,Good,0,1,2400
Sunday,10,Worst,1,2,4700
Sunday,11,Worst,0,6,4300
Sunday,12,Better,1,3,3500
Sunday,13,Good,1,1,2500
Sunday,14,Worst,0,1,4100
Sunday,15,Better,1,5,3650
Sunday,16,Worst,0,4,4500
Sunday,17,Worst,0,5,4125
Sunday,18,Worst,0,4,4225
Monday,8,Good,1,2,2750
Monday,9,Good,0,4,3890
Monday,10,Worst,1,6,3440
Monday,11,Worst,0,2,2770
Monday,12,Better,1,3,4795
Monday,13,Good,1,4,2400
Monday,14,Worst,0,5,4215
Monday,15,Better,1,1,4322
Monday,16,Worst,0,6,4798
Monday,17,Worst,0,3,3745
Monday,18,Worst,0,5,3899
Tuesday,8,Worst,1,2,4955
Tuesday,9,Good,1,3,2700
Tuesday,10,Good,1,6,2650
Tuesday,11,Better,0,4,3200
Tuesday,12,Good,1,2,2845
Tuesday,13,Good,0,1,3450
Tuesday,14,Better,0,5,3320
Tuesday,15,Better,1,3,3895
Tuesday,16,Worst,0,5,4256
Tuesday,17,Good,1,4,2788
Tuesday,18,Good,1,1,2988
Wednesday,8,Better,0,2,3250
Wednesday,9,Better,1,5,3785
Wednesday,10,Good,0,6,2450
Wednesday,11,Good,0,1,2360
Wednesday,12,Better,1,2,3956
Wednesday,13,Worst,0,3,4400
Wednesday,14,Worst,0,4,4500
Wednesday,15,Better,1,2,4850
Wednesday,16,Good,0,6,2450
Wednesday,17,Good,1,2,2890
Wednesday,18,Better,0,1,3320
Thursday,8,Worst,1,5,4780
Thursday,9,Good,1,2,2860
Thursday,10,Better,0,1,3321
Thursday,11,Good,0,6,2365
Thursday,12,Better,1,3,3600
Thursday,13,Good,0,4,2450
Thursday,14,Worst,1,5,4789
Thursday,15,Worst,0,2,4325
Thursday,16,Good,0,3,2123
Thursday,17,Better,1,2,3624
Thursday,18,Better,1,5,3785
Friday,8,Better,0,6,3260
Friday,9,Worst,0,2,4260
Friday,10,Worst,1,4,4985
Friday,11,Good,1,3,3000
Friday,12,Better,0,5,3100
Friday,13,Good,1,6,2895
Friday,14,Better,1,2,3789
Friday,15,Worst,0,4,4256
Friday,16,Worst,0,3,4352
Friday,17,Worst,1,6,4987
Friday,18,Better,1,4,3895
Saturday,8,Good,0,5,2450
Saturday,9,Good,1,2,2895
Saturday,10,Worst,0,3,4325
Saturday,11,Better,1,5,3895
Saturday,12,Good,0,3,2451
Saturday,13,Better,1,2,3895
Saturday,14,Better,1,6,3678
Saturday,15,Worst,1,4,4895
Saturday,16,Good,0,2,2500
Saturday,17,Good,0,3,2500
Saturday,18,Better,1,5,3965
