Day,Time,Weather,Traffic,Quantity,Prize
Sunday,8,Good,1,5,2700
Sunday,9,Good,0,2,2371
Sunday,10,Worst,1,4,4650
Sunday,11,Worst,0,6,4120
Sunday,12,Better,1,3,3650
Sunday,13,Good,1,5,2650
Sunday,14,Worst,0,4,4300
Sunday,15,Better,1,2,3751
Sunday,16,Worst,0,5,4250
Sunday,17,Worst,0,6,4271
Sunday,18,Worst,0,1,4440
Monday,8,Good,1,2,4555
Monday,9,Good,0,5,3860
Monday,10,Worst,1,6,3320
Monday,11,Worst,0,3,2600
Monday,12,Better,1,4,4800
Monday,13,Good,1,5,2300
Monday,14,Worst,0,2,4350
Monday,15,Better,1,1,4470
Monday,16,Worst,0,5,4860
Monday,17,Worst,0,6,3650
Monday,18,Worst,0,3,3800
Tuesday,8,Worst,1,2,4777
Tuesday,9,Good,1,4,2650
Tuesday,10,Good,1,2,2700
Tuesday,11,Better,0,1,3400
Tuesday,12,Good,1,4,2600
Tuesday,13,Good,0,3,3156
Tuesday,14,Better,0,6,3400
Tuesday,15,Better,1,1,3650
Tuesday,16,Worst,0,5,4000
Tuesday,17,Good,1,2,2700
Tuesday,18,Good,1,4,2950
Wednesday,8,Better,0,3,3450
Wednesday,9,Better,1,2,3550
Wednesday,10,Good,0,6,2100
Wednesday,11,Good,0,1,2300
Wednesday,12,Better,1,5,3520
Wednesday,13,Worst,0,4,4100
Wednesday,14,Worst,0,3,4120
Wednesday,15,Better,1,4,3850
Wednesday,16,Good,0,2,2400
Wednesday,17,Good,1,6,2750
Wednesday,18,Better,0,5,3500
Thursday,8,Worst,1,1,4650
Thursday,9,Good,1,5,2860
Thursday,10,Better,0,3,3300
Thursday,11,Good,0,5,2430
Thursday,12,Better,1,4,3650
Thursday,13,Good,0,6,2600
Thursday,14,Worst,1,5,4860
Thursday,15,Worst,0,6,4100
Thursday,16,Good,0,6,2400
Thursday,17,Better,1,6,3550
Thursday,18,Better,1,3,3980
Friday,8,Better,0,4,3350
Friday,9,Worst,0,2,4200
Friday,10,Worst,1,5,4520
Friday,11,Good,1,1,2500
Friday,12,Better,0,1,3500
Friday,13,Good,1,2,3000
Friday,14,Better,1,3,3890
Friday,15,Worst,0,6,4200
Friday,16,Worst,0,1,4300
Friday,17,Worst,1,4,4600
Friday,18,Better,1,5,3650
Saturday,8,Good,0,2,2000
Saturday,9,Good,1,6,2650
Saturday,10,Worst,0,6,4200
Saturday,11,Better,1,4,3650
Saturday,12,Good,0,5,2650
Saturday,13,Better,1,2,3700
Saturday,14,Better,1,3,3570
Saturday,15,Worst,1,4,4627
Saturday,16,Good,0,5,2500
Saturday,17,Good,0,6,2300
Saturday,18,Better,1,1,3657
