Day,Time,Weather,Traffic,Quantity,Price
Sunday,8,Good,1,3,2810
Sunday,9,Good,0,6,2105
Sunday,10,Worst,1,4,4600
Sunday,11,Worst,0,2,4500
Sunday,12,Better,1,1,3600
Sunday,13,Good,1,2,2890
Sunday,14,Worst,0,5,4250
Sunday,15,Better,1,6,3900
Sunday,16,Worst,0,4,4350
Sunday,17,Worst,0,3,4250
Sunday,18,Worst,0,5,4110
Monday,8,Good,1,6,2800
Monday,9,Good,0,2,2100
Monday,10,Worst,1,1,4560
Monday,11,Worst,0,3,4500
Monday,12,Better,1,5,3600
Monday,13,Good,1,4,2805
Monday,14,Worst,0,6,4000
Monday,15,Better,1,5,3650
Monday,16,Worst,0,1,4000
Monday,17,Worst,0,3,4350
Monday,18,Worst,0,4,4300
Tuesday,8,Worst,1,5,5000
Tuesday,9,Good,1,6,2950
Tuesday,10,Good,1,2,2950
Tuesday,11,Better,0,3,3250
Tuesday,12,Good,1,6,2750
Tuesday,13,Good,0,5,2300
Tuesday,14,Better,0,4,3100
Tuesday,15,Better,1,1,4000
Tuesday,16,Worst,0,5,4230
Tuesday,17,Good,1,6,2800
Tuesday,18,Good,1,4,2850
Wednesday,8,Better,0,3,3400
Wednesday,9,Better,1,2,3900
Wednesday,10,Good,0,5,2000
Wednesday,11,Good,0,3,2100
Wednesday,12,Better,1,5,3950
Wednesday,13,Worst,0,1,4100
Wednesday,14,Worst,0,4,4500
Wednesday,15,Better,1,6,3600
Wednesday,16,Good,0,2,2500
Wednesday,17,Good,1,5,3000
Wednesday,18,Better,0,2,3400
Thursday,8,Worst,1,3,5000
Thursday,9,Good,1,4,2850
Thursday,10,Better,0,1,3400
Thursday,11,Good,0,6,2450
Thursday,12,Better,1,1,4000
Thursday,13,Good,0,5,2100
Thursday,14,Worst,1,4,4700
Thursday,15,Worst,0,3,4399
Thursday,16,Good,0,2,2400
Thursday,17,Better,1,6,4000
Thursday,18,Better,1,4,4000
Friday,8,Better,0,1,3500
Friday,9,Worst,0,5,4350
Friday,10,Worst,1,3,4800
Friday,11,Good,1,6,2800
Friday,12,Better,0,5,3200
Friday,13,Good,1,3,2900
Friday,14,Better,1,4,3500
Friday,15,Worst,0,1,4000
Friday,16,Worst,0,6,4500
Friday,17,Worst,1,2,5000
Friday,18,Better,1,5,3999
Saturday,8,Good,0,6,2100
Saturday,9,Good,1,4,2800
Saturday,10,Worst,0,3,4300
Saturday,11,Better,1,5,3850
Saturday,12,Good,0,6,2500
Saturday,13,Better,1,2,3899
Saturday,14,Better,1,1,3895
Saturday,15,Worst,1,3,5000
Saturday,16,Good,0,5,2500
Saturday,17,Good,0,4,2400
Saturday,18,Better,1,6,3999
